query信息
不丹	亚洲	1	0
东帝汶	亚洲	1	0
东帝汶民主共和国	亚洲	1	0
中国	亚洲	1	21
乌兹别克斯坦	亚洲	1	0
也门	亚洲	1	0
亚美尼亚	亚洲	1	0
以色列	亚洲	1	0
伊拉克	亚洲	1	0
伊朗	亚洲	1	0
卡塔尔	亚洲	1	1
印度	亚洲	1	0
印度尼西亚	亚洲	1	1
叙利亚	亚洲	1	0
吉尔吉斯斯坦	亚洲	1	0
哈萨克斯坦	亚洲	1	0
土库曼斯坦	亚洲	1	0
土耳其	亚洲	1	3
塔吉克斯坦	亚洲	1	0
塞浦路斯	亚洲	1	0
孟加拉	亚洲	1	0
孟加拉国	亚洲	1	0
尼泊尔	亚洲	1	0
巴勒斯坦	亚洲	1	0
巴勒斯坦国	亚洲	1	0
巴基斯坦	亚洲	1	0
巴林	亚洲	1	0
文莱	亚洲	1	0
斯里兰卡	亚洲	1	2
新加坡	亚洲	1	2
日本	亚洲	1	35
朝鲜	亚洲	1	0
柬埔寨	亚洲	1	0
格鲁吉亚	亚洲	1	0
沙特阿拉伯	亚洲	1	0
泰国	亚洲	1	72
科威特	亚洲	1	0
约旦	亚洲	1	0
缅甸	亚洲	1	0
老挝	亚洲	1	0
菲律宾	亚洲	1	3
蒙古	亚洲	1	0
越南	亚洲	1	1
锡金	亚洲	1	0
阿塞拜疆	亚洲	1	0
阿富汗	亚洲	1	0
阿拉伯联合酋长国	亚洲	1	2
阿曼	亚洲	1	0
阿联酋	亚洲	1	3
韩国	亚洲	1	114
马尔代夫	亚洲	1	0
马来西亚	亚洲	1	22
黎巴嫩	亚洲	1	0
伯利兹	北美洲	1	0
加拿大	北美洲	1	1
危地马拉	北美洲	1	0
古巴	北美洲	1	0
哥斯达黎加	北美洲	1	0
圣卢西亚	北美洲	1	0
圣基茨和尼维斯	北美洲	1	0
圣基茨和尼维斯联邦	北美洲	1	0
圣文森特和格林纳丁斯	北美洲	1	0
圣皮埃尔和密克隆岛	北美洲	1	0
墨西哥	北美洲	1	1
多米尼克	北美洲	1	0
多米尼加	北美洲	1	0
多米尼加共和国	北美洲	1	0
安圭拉(英属)	北美洲	1	0
安圭拉（英）	北美洲	1	0
安提瓜和巴布达	北美洲	1	0
尼加拉瓜	北美洲	1	0
巴哈马	北美洲	1	0
巴巴多斯	北美洲	1	0
巴拿马	北美洲	1	0
开曼群岛(英属)	北美洲	1	0
开曼群岛（英）	北美洲	1	0
格林纳达	北美洲	1	0
格陵兰	北美洲	1	0
格陵兰（丹）	北美洲	1	0
波多黎各(美属)	北美洲	1	0
波多黎各（美）	北美洲	1	0
洪都拉斯	北美洲	1	0
海地	北美洲	1	0
牙买加	北美洲	1	0
特克斯和凯科斯群岛	北美洲	1	0
特克斯和凯科斯群岛（英）	北美洲	1	0
特立尼达和多巴哥	北美洲	1	0
瓜德罗普(法属)	北美洲	1	0
瓜德罗普（法）	北美洲	1	0
百慕大	北美洲	1	0
百慕大（英）	北美洲	1	0
美国	北美洲	1	23
美属维尔京群岛	北美洲	1	0
英属维尔京群岛	北美洲	1	0
荷属安的列斯	北美洲	1	0
萨尔瓦多	北美洲	1	0
蒙特塞拉特（英）	北美洲	1	0
阿鲁巴（荷）	北美洲	1	0
马提尼克(法属)	北美洲	1	0
马提尼克（法）	北美洲	1	0
乌拉圭	南美洲	1	0
厄瓜多尔	南美洲	1	0
哥伦比亚	南美洲	1	0
圭亚那	南美洲	1	0
委内瑞拉	南美洲	1	0
巴拉圭	南美洲	1	0
巴西	南美洲	1	10
智利	南美洲	1	0
法属圭亚那	南美洲	1	0
玻利维亚	南美洲	1	0
福克兰群岛	南美洲	1	0
秘鲁	南美洲	1	0
苏里南	南美洲	1	0
阿根廷	南美洲	1	5
阿鲁巴	南美洲	1	0
关岛	大洋洲	1	0
关岛（美）	大洋洲	1	0
北马里亚纳（美）	大洋洲	1	0
北马里亚那群岛	大洋洲	1	1
图瓦卢	大洋洲	1	0
基里巴斯	大洋洲	1	0
密克罗尼西亚	大洋洲	1	0
巴布亚新几内亚	大洋洲	1	0
帕劳	大洋洲	1	0
库克群岛	大洋洲	1	0
库克群岛（新）	大洋洲	1	0
所罗门群岛	大洋洲	1	0
