query信息
luoatan		-1	0
spdlsl		-1	0
jdz		-1	0
rineiwa		-1	0
kufula		-1	0
jidagang		-1	0
kstc		-1	0
qiyan		-1	0
tangjiatabudao		-1	0
danzhou		-1	0
alade		-1	0
hnmad		-1	0
mangu		-1	0
guangshui		-1	0
kstw		-1	0
ainiweituokedao		-1	0
wuzhong		-1	0
kstl		-1	0
jfs		-1	0
eerguna		-1	0
awalua		-1	0
heersong		-1	0
putaoya		-1	0
hebi		-1	0
hmed		-1	0
ssewd		-1	0
sikepuli		-1	0
bhde		-1	0
medw		-1	0
ganzi		-1	0
alaer		-1	0
yangzhou		-1	0
jgm		-1	0
kaliba		-1	0
yuehanneisibaoshi		-1	0
jgs		-1	0
dazu		-1	0
yuedan		-1	0
fuan		-1	0
nfkd(as)		-1	0
kalibo		-1	0
wenshan		-1	0
yjde		-1	0
taiwan		-1	0
liling		-1	0
daye		-1	0
benekn		-1	0
xigong		-1	0
kuzhan		-1	0
fandigangcheng		-1	0
kailuwan		-1	0
dengfeng		-1	0
medf		-1	0
shengpeideluosula		-1	0
jiujiang		-1	0
jhs		-1	0
taertu		-1	0
amusitedan		-1	0
pipidao		-1	0
enkayi		-1	0
niuafuou		-1	0
bayamo		-1	0
bisha		-1	0
gangguobu		-1	0
gaoan		-1	0
suqiawa		-1	0
ajianni		-1	0
abxbl		-1	0
ejmn		-1	0
famagusita		-1	0
maliyawenquancheng		-1	0
dongdiwen		-1	0
wulumuqi		-1	0
yilinjia		-1	0
qionglai		-1	0
engangdailei		-1	0
fllsd		-1	0
aohuate		-1	0
meisi		-1	0
dazhou		-1	0
alblhqzg		-1	0
samaerhan		-1	0
aedbld		-1	0
buleidaersiweike		-1	0
songyuan		-1	0
jbt		-1	0
jxnw		-1	0
dsedf		-1	0
bijie		-1	0
gongzhuling		-1	0
ashenbodun		-1	0
misulata		-1	0
hangzhou		-1	0
doujiangyan		-1	0
bjxmt		-1	0
kkqd		-1	0
hegd		-1	0
naoludao		-1	0
yushu		-1	0
jdc		-1	0
changjiang		-1	0
taishan		-1	0
hegs		-1	0
jdg		-1	0
aiergehada		-1	0
aoerboyi		-1	0
yangjiaocun		-1	0
IRANSHAHR		-1	0
kzl-ntes		-1	0
jdl		-1	0
beiaierlan		-1	0
yingtan		-1	0
aitufei		-1	0
kailuo		-1	0
jms		-1	0
hskst		-1	0
jianeiliqundaoxi		-1	0
jmd		-1	0
badeng		-1	0
lubange		-1	0
sseqd		-1	0
atebala		-1	0
tamatafu		-1	0
zhenjiang		-1	0
jny		-1	0
annuobendao		-1	0
weiwei		-1	0
baisha		-1	0
kslz		-1	0
fdgc		-1	0
zhucheng		-1	0
bangguanu		-1	0
qinglai		-1	0
silibajiawanshi		-1	0
hulin		-1	0
midiyaluodao		-1	0
sitelasibao		-1	0
abaiang		-1	0
jnd		-1	0
aerboletasi		-1	0
kaichenggongyediqu		-1	0
tijikejia		-1	0
telonghaimu		-1	0
jnn		-1	0
ledong		-1	0
ruishiquanjing		-1	0
rnw		-1	0
balidao		-1	0
bayangnei		-1	0
hekf		-1	0
rny		-1	0
nuwakexiaote		-1	0
rsqj		-1	0
ensheerziweike		-1	0
bukawu		-1	0
shengyuehan		-1	0
guanghan		-1	0
kuibeikecheng		-1	0
kuita		-1	0
asandiqu		-1	0
chizhou		-1	0
jpz		-1	0
saersibao		-1	0
gantuoke		-1	0
nasao		-1	0
yuxian		-1	0
gansu		-1	0
hayimajiao		-1	0
weiliansitade		-1	0
twly		-1	0
aluodao		-1	0
yingde		-1	0
plwsaks		-1	0
helong		-1	0
foluoleisi		-1	0
jianyang		-1	0
